Channel,Package,Position,Satellite,Language,Resolution,Encryption,Genre,Type
SET TV 26.1,,113° W,EUTELSAT 113 West A,Spanish,SD,Free-to-air,,TV
ADN 40,,113° W,EUTELSAT 113 West A,Spanish,SD,Free-to-air,,TV
Azteca Uno,,113° W,EUTELSAT 113 West A,Spanish,SD,Free-to-air,General,TV
Tlaxcala TV,,113° W,EUTELSAT 113 West A,Spanish,SD,Free-to-air,,TV
CV Shopping,,113° W,EUTELSAT 113 West A,Spanish,SD,Free-to-air,Shopping,TV
Quiero TV,,113° W,EUTELSAT 113 West A,Spanish,SD,Free-to-air,,TV
Megacanal,,113° W,EUTELSAT 113 West A,Spanish,SD,Free-to-air,,TV
TeleFórmula,,113° W,EUTELSAT 113 West A,Spanish,SD,Free-to-air,,TV
Cutlery Corner Network,,113° W,EUTELSAT 113 West A,English,SD,Free-to-air,Shopping,TV
Retro TV East,,113° W,EUTELSAT 113 West A,English,SD,Free-to-air,,TV
Jewelry TV,,113° W,EUTELSAT 113 West A,English,SD,Free-to-air,Shopping,TV
Tempo Networks,,113° W,EUTELSAT 113 West A,English,SD,Free-to-air,,TV
WJPX-TV,,113° W,EUTELSAT 113 West A,Spanish,SD,Free-to-air,,TV
Hope Channel Inter-America,,113° W,EUTELSAT 113 West A,Spanish,SD,Free-to-air,Religious,TV
Hope Channel Inter-America English,,113° W,EUTELSAT 113 West A,English,SD,Free-to-air,Religious,TV
BVN Amerika,,113° W,EUTELSAT 113 West A,Dutch,SD,Free-to-air,General,TV
UDG TV Canal 44,,113° W,EUTELSAT 113 West A,Spanish,HD,Free-to-air,,TV
WWB TV,,113° W,EUTELSAT 113 West A,Spanish,HD,Free-to-air,Sports,TV
VA+ TV,,113° W,EUTELSAT 113 West A,Spanish,HD,Free-to-air,,TV
UAA TV,,113° W,EUTELSAT 113 West A,Spanish,HD,Free-to-air,Education,TV
Sistema Michoacano de TV,,113° W,EUTELSAT 113 West A,Spanish,HD,Free-to-air,,TV
RCG TV,,113° W,EUTELSAT 113 West A,Spanish,HD,Free-to-air,,TV
Hidalgo TV,,113° W,EUTELSAT 113 West A,Spanish,HD,Free-to-air,,TV
Azteca Uno,,113° W,EUTELSAT 113 West A,Spanish,HD,Free-to-air,General,TV
Canal 6 CDMX,,113° W,EUTELSAT 113 West A,Spanish,HD,Free-to-air,,TV
Telemax,,113° W,EUTELSAT 113 West A,Spanish,HD,Free-to-air,,TV
Inti TV,,113° W,EUTELSAT 113 West A,Spanish,HD,Free-to-air,,TV
GEB,,113° W,EUTELSAT 113 West A,English,HD,Free-to-air,Religious,TV
WSPF-CD,,113° W,EUTELSAT 113 West A,Spanish,HD,Free-to-air,,TV
Revival,,113° W,EUTELSAT 113 West A,English,HD,Free-to-air,Religious,TV
NRB TV,,113° W,EUTELSAT 113 West A,English,HD,Free-to-air,Religious,TV
Milenio TV,,113° W,EUTELSAT 113 West A,Spanish,SD,Encoded,,TV
Canal 6 Saltillo,,113° W,EUTELSAT 113 West A,Spanish,SD,Encoded,,TV
Canal 8 Costa Rica,,113° W,EUTELSAT 113 West A,Spanish,SD,Encoded,,TV
Cine Mexicano,,113° W,EUTELSAT 113 West A,Spanish,SD,Encoded,Films,TV
Cinema Platino,,113° W,EUTELSAT 113 West A,Spanish,SD,Encoded,Films,TV
Cinema Platino 2,,113° W,EUTELSAT 113 West A,Spanish,SD,Encoded,Films,TV
TVC Delay,,113° W,EUTELSAT 113 West A,Spanish,SD,Encoded,,TV
Video Rola,,113° W,EUTELSAT 113 West A,Spanish,SD,Encoded,Music,TV
Excélsior TV,,113° W,EUTELSAT 113 West A,Spanish,SD,Encoded,,TV
AMC Latin America,,113° W,EUTELSAT 113 West A,Spanish,SD,Encoded,Films,TV
Más Chic Lationamérica,,113° W,EUTELSAT 113 West A,Spanish,SD,Encoded,Shopping,TV
El Gourmet Norte,,113° W,EUTELSAT 113 West A,Spanish,SD,Encoded,,TV
Film & Arts América Latina,,113° W,EUTELSAT 113 West A,Spanish,SD,Encoded,General,TV
TVC Deportes,,113° W,EUTELSAT 113 West A,Spanish,SD,Encoded,Sports,TV
Mega Sports,,113° W,EUTELSAT 113 West A,Spanish,SD,Encoded,Sports,TV
NBA TV,,113° W,EUTELSAT 113 West A,Spanish,SD,Encoded,Sports,TV
Pasiones Latinoamérica,,113° W,EUTELSAT 113 West A,Spanish,SD,Encoded,,TV
Hola! TV América Latina,,113° W,EUTELSAT 113 West A,Spanish,SD,Encoded,Fashion,TV
