channel_id,channel_category,tracking_pixel,fingerprints,tracking_cookies
7_1558_2931_0_7_61_133,{'General'},0,5,59305
7_21_760_0_7_61_133,{'General'},0,3,6083
7_1558_2941_0_7_71_133,{'Documentary'},0,5,4956
7_1415_1878_0_7_71_133,{'Documentary'},0,7,4939
7_1486_2761_0_1005_13313_1,{'Unknown'},0,5,4751
7_1558_2939_0_7_73_133,{'Unknown'},0,3,4451
7_1415_1876_0_7_73_133,{'Unknown'},0,4,4346
7_1415_1868_0_7_61_133,{'General'},0,10,4329
7_23_788_0_1091_28800_1,"{'General', 'Music', 'Children'}",0,4,4316
7_1391_1897_0_1091_28805_1,{'General'},0,3,4287
7_21_770_0_7_71_133,{'Documentary'},0,10,4178
7_1536_2960_0_1091_28805_1,{'General'},0,10,4150
7_1433_1698_0_1005_13313_1,{'Unknown'},0,4,3932
7_1391_1896_0_1091_28800_1,"{'General', 'Music', 'Children'}",0,9,3768
7_23_789_0_1091_28805_1,{'General'},0,9,3552
7_21_768_0_7_73_133,{'Unknown'},0,2,3456
7_1556_3009_0_5_776_133,{'General'},2,6,3359
7_14_588_0_1005_13313_1,{'Unknown'},0,4,3359
7_1536_2959_0_1091_28800_1,"{'General', 'Music', 'Children'}",0,4,3296
7_1531_2503_0_1082_20009_1,{'General'},14,13,3267
7_1391_1899_0_1091_28815_1,{'General'},4,1099,2125
7_1413_1946_0_5_776_133,{'General'},0,0,3203
7_1386_1445_0_1082_20010_1,{'General'},0,5,3106
7_1536_2962_0_1091_28815_1,{'General'},0,995,2084
7_1386_1443_0_1082_20008_1,{'General'},109,19,2353
7_1399_2119_0_1107_17506_1,{'General'},125,10,2337
7_1399_2113_0_1107_17500_1,{'General'},76,14,2307
7_101_868_0_1107_17508_1,{'General'},94,7,2268
7_1399_2122_0_1107_17509_1,{'Unknown'},55,12,2279
7_1531_2504_0_1082_20010_1,{'General'},134,18,2192
7_101_861_0_1107_17501_1,{'General'},50,8,2260
7_1543_3174_0_1107_17500_1,{'General'},78,18,2220
7_1543_3178_0_1107_17504_1,{'General'},58,8,2248
7_101_862_0_1107_17502_1,{'General'},81,8,2168
7_19_670_0_1031_5312_1,{'Unknown'},0,11,2232
