channelid,channel_category,trackers
7_1448_1776_0_1031_5312_1,{'Unknown'},1648
7_1558_2931_0_7_61_133,{'General'},57550
7_23_789_0_1091_28805_1,{'General'},2935
7_20_283_0_1082_20005_1,{'General'},1502
7_1_433_0_1108_12122_1,{'Religion'},56
7_1415_1878_0_7_71_133,{'Documentary'},3347
7_21_768_0_7_73_133,{'Unknown'},1477
7_101_865_0_1107_17505_1,{'General'},803
7_1486_2761_0_1005_13313_1,{'Unknown'},3679
7_1502_2842_0_1031_5309_1,{'Unknown'},443
7_20_282_0_1082_20004_1,{'General'},1625
7_1502_2839_0_1031_5312_1,{'Unknown'},1464
7_22_779_0_1089_12006_1,"{'General', 'Music', 'Children'}",189
7_1543_3174_0_1107_17500_1,{'General'},1646
7_1433_1698_0_1005_13313_1,{'Unknown'},3306
7_101_861_0_1107_17501_1,{'General'},1795
7_1558_2939_0_7_73_133,{'Unknown'},2471
7_21_760_0_7_61_133,{'General'},4485
7_1531_2499_0_1082_20005_1,{'General'},1502
7_1399_2119_0_1107_17506_1,{'General'},1640
7_1556_3009_0_5_776_133,{'General'},1366
7_23_788_0_1091_28800_1,"{'General', 'Music', 'Children'}",3712
7_1543_3182_0_1107_17508_1,{'General'},430
7_1391_1899_0_1091_28815_1,{'General'},1602
7_1415_1868_0_7_61_133,{'General'},3351
7_1386_1444_0_1082_20009_1,{'General'},1172
7_1399_2122_0_1107_17509_1,{'Unknown'},1692
7_78_708_0_1101_28111_1,{'General'},181
7_1399_2115_0_1107_17502_1,{'General'},1673
7_0_876_0_1111_28534_1,{'General'},51
7_1391_1896_0_1091_28800_1,"{'General', 'Music', 'Children'}",2845
7_1536_2962_0_1091_28815_1,{'General'},1831
7_1566_3139_0_1021_28332_1,{'General'},42
7_1543_3178_0_1107_17504_1,{'General'},1608
7_1448_1775_0_1031_5311_1,{'General'},1479
7_23_791_0_1091_28815_1,{'General'},1516
7_20_286_0_1082_20009_1,{'General'},1229
7_1415_1876_0_7_73_133,{'Unknown'},2609
7_1413_1948_0_5_1794_133,{'Shopping'},70
7_20_280_0_1082_20002_1,{'General'},1598
7_1554_2633_0_33_661_133,{'General'},33
7_1536_2960_0_1091_28805_1,{'General'},3534
7_1386_1445_0_1082_20010_1,{'General'},1113
7_1531_2503_0_1082_20009_1,{'General'},2334
