channelid,scan_profile,tracker
7_32_488_0_1053_21103_1,3,1
7_19_672_0_1031_5305_1,1,1
7_22_778_0_1089_12005_1,6,1
7_1554_2629_0_33_32_133,4,1
7_84_261_0_1078_28676_1,6,1
7_1012_2726_0_1035_2_1,1,1
7_1554_2637_0_33_40_133,3,1
7_1415_1871_0_7_775_133,6,1
7_78_707_0_1101_28110_1,4,1
7_25_832_0_1201_28395_1,6,1
7_1534_2958_0_1089_12090_1,6,1
7_1556_3012_0_5_48_133,1,1
7_1383_1404_0_1078_28678_1,3,1
7_1389_1885_0_1089_12004_1,4,1
7_27_423_0_33_63_133,3,1
7_1554_2637_0_33_40_133,6,1
7_1419_1644_0_1035_2_1,1,1
7_22_776_0_1089_12003_1,6,1
7_1380_1861_0_1073_28230_1,6,1
7_22_785_0_1089_12061_1,1,1
7_1383_1417_0_1078_28676_1,1,1
7_1528_2464_0_1078_28680_1,4,1
7_22_778_0_1089_12005_1,1,1
7_1534_2947_0_1089_12003_1,6,1
7_1534_2949_0_1089_12005_1,5,1
7_22_777_0_1089_12004_1,1,1
7_1389_1886_0_1089_12005_1,4,1
7_1397_1812_0_1101_28106_1,6,1
7_1389_1888_0_1089_12009_1,5,1
7_84_258_0_1078_28678_1,6,1
7_101_863_0_1107_17503_1,4,1
7_1542_2880_0_1101_28113_1,6,1
7_1113_2655_0_1113_12601_1,6,1
7_83_722_0_1079_28011_1,1,1
7_1389_1886_0_1089_12005_1,3,1
7_27_413_0_33_898_133,1,1
7_26_840_0_5_1794_133,1,1
7_1389_1892_0_1089_12060_1,3,1
7_1383_1403_0_1078_28671_1,3,1
7_1525_2923_0_1073_28229_1,1,1
7_1534_2956_0_1089_12061_1,6,1
7_1534_2954_0_1089_12040_1,1,1
7_1528_2464_0_1078_28680_1,6,1
7_1556_3006_0_5_662_133,3,1
7_1389_1891_0_1089_12040_1,6,1
7_1399_2116_0_1107_17503_1,3,1
7_1389_1887_0_1089_12006_1,3,1
7_27_412_0_33_32_133,4,1
7_1528_2476_0_1078_28676_1,3,1
7_1389_1884_0_1089_12003_1,1,1
7_1550_3001_0_1201_28385_1,6,1
7_1407_1937_0_1201_28311_1,1,1
7_1534_2950_0_1089_12006_1,3,1
7_1389_1890_0_1089_12030_1,1,1
7_1554_2640_0_33_63_133,6,1
7_1424_2104_0_1021_28336_1,1,1
7_1460_1614_0_1053_21104_1,3,1
7_84_261_0_1078_28676_1,1,1
7_1407_1938_0_1201_28385_1,6,1
7_26_840_0_5_1794_133,4,1
7_1500_2831_0_1025_10331_1,1,1
7_26_841_0_5_48_133,5,1
7_1536_2963_0_1091_28820_1,1,1
7_1534_2953_0_1089_12030_1,1,1
7_23_792_0_1091_28820_1,6,1
7_78_707_0_1101_28110_1,6,1
7_1534_2953_0_1089_12030_1,4,1
7_1460_1613_0_1053_21103_1,3,1
7_22_787_0_1089_12090_1,1,1
7_1443_1752_0_1019_10304_1,1,1
7_1534_2957_0_1089_12080_1,1,1
7_1411_1570_0_33_32_133,5,1
7_1389_1887_0_1089_12006_1,4,1
7_1409_2094_0_15_38_133,3,1
7_1409_2094_0_15_38_133,6,1
7_1534_2955_0_1089_12060_1,3,1
7_1404_2029_0_1115_13141_1,1,1
7_1536_2959_0_1091_28800_1,5,1
7_1460_1613_0_1053_21103_1,1,1
7_1397_1817_0_1101_28113_1,4,1
7_1543_3177_0_1107_17503_1,4,1
7_1556_3011_0_5_1794_133,6,1
7_1554_2637_0_33_40_133,5,1
7_1383_1417_0_1078_28676_1,3,1
7_1566_3149_0_1021_28342_1,1,1
7_1558_2934_0_7_775_133,6,1
7_1389_1895_0_1089_12090_1,3,1
7_1514_2696_0_1053_21104_1,3,1
7_1550_3002_0_1201_28386_1,1,1
7_1389_1890_0_1089_12030_1,4,1
7_1383_1417_0_1078_28676_1,6,1
7_1419_1644_0_1035_2_1,6,1
7_1514_2696_0_1053_21104_1,1,1
7_78_708_0_1101_28111_1,1,1
7_1534_2957_0_1089_12080_1,3,1
7_1534_2949_0_1089_12005_1,6,1
7_1534_2958_0_1089_12090_1,1,1
7_1528_2476_0_1078_28676_1,6,1
7_1383_1403_0_1078_28671_1,1,1
7_1502_2843_0_1031_5305_1,1,1
7_27_412_0_33_32_133,1,1
7_84_257_0_1078_28671_1,1,1
7_1389_1884_0_1089_12003_1,6,1
7_1554_2638_0_33_77_133,4,1
7_1556_3012_0_5_48_133,3,1
7_1411_1570_0_33_32_133,6,1
7_22_784_0_1089_12060_1,3,1
7_1554_2637_0_33_40_133,4,1
7_1514_2695_0_1053_21103_1,6,1
7_1380_1859_0_1073_28228_1,6,1
7_25_826_0_1201_28308_1,1,1
7_1384_1827_0_1079_28008_1,1,1
7_0_878_0_1111_28536_1,4,1
7_1548_3067_0_1117_13018_1,1,1
7_1534_2956_0_1089_12061_1,5,1
7_1534_2951_0_1089_12009_1,6,1
7_90_750_0_1073_28227_1,1,1
7_27_420_0_33_40_133,1,1
7_1504_2719_0_1033_10102_1,1,1
7_1411_1579_0_33_77_133,6,1
7_22_786_0_1089_12080_1,6,1
7_1534_2955_0_1089_12060_1,1,1
7_1411_1578_0_33_40_133,3,1
7_1389_1885_0_1089_12004_1,6,1
7_1413_1948_0_5_1794_133,4,1
7_1534_2956_0_1089_12061_1,3,1
7_1383_1405_0_1078_28680_1,1,1
7_22_784_0_1089_12060_1,4,1
7_1399_2116_0_1107_17503_1,6,1
7_1012_2726_0_1035_2_1,3,1
7_1389_1894_0_1089_12080_1,3,1
7_1389_1895_0_1089_12090_1,4,1
7_1552_3125_0_15_38_133,6,1
7_1389_1888_0_1089_12009_1,4,1
7_1399_2116_0_1107_17503_1,1,1
7_1558_2940_0_7_774_133,6,1
7_1423_1351_0_1068_5700_1,6,1
7_1534_2951_0_1089_12009_1,3,1
7_26_841_0_5_48_133,3,1
7_27_421_0_33_77_133,3,1
7_1554_2629_0_33_32_133,6,1
7_78_707_0_1101_28110_1,1,1
7_22_785_0_1089_12061_1,3,1
7_1548_3067_0_1117_13018_1,6,1
7_1556_3011_0_5_1794_133,4,1
7_1534_2948_0_1089_12004_1,6,1
7_1534_2947_0_1089_12003_1,4,1
7_27_421_0_33_77_133,1,1
7_26_840_0_5_1794_133,3,1
7_1411_1578_0_33_40_133,1,1
7_1411_1579_0_33_77_133,3,1
